詞綴,下限,上限,選取
區域中的神諭有%機率掉落個額外堆疊的通貨碎片,11,,False
區域中的神諭掉落更高價值的通貨碎片,0,,False
完成輿圖征服者勢力地圖，有%機率獲得倍定位他們壁壘位置的進度,1,,False
攻擊技能+%持續傷害加成,16,,False
攻擊技能+%火焰持續傷害加成,21,,False
劫盜保險箱有%機率複製內含的基礎通貨,13,,False
為劫盜+全部工作等級,0,,False
為劫盜+蠻力等級,0,,False
增加%工作速度,18,,False
和華卡諾完成劫盜有%機率產生額外的揭露,13,,False
若你近期有造成暴擊，你獲得流順之風,0,,False
區域中處刑永生密教成員，有%機率獲得額外階級,13,,False
區域中的永生密教成員有%更高機率有支援,7,,False
區域中隨機遭遇的大師增加%機率為瓊恩完成地圖後獲得的大師任務增加%機率為瓊恩,66,,False
區域中發現%更多藍圖,7,,False
+秒封鎖計時,5,,False
增加%蠻力速度,18,,False
有祭祀神壇的區域必定有個祭祀神壇,0,,False
區域中收割土地增加%機率成長至階級的作物,11,,False
區域中收割作物有次額外機率成長至更高階級的作物,0,,False
區域中已收割的作物有% 機率給予個額外工藝選項,1.6,,False
區域中於祭祀神壇重骰恩賜之物消耗%更少貢禮,9,,False
區域中擊殺靠近的敵人，有%機率吸引來自超越的怪物,0,,False
區域中的超越傳送門，有%機率產生個額外超越惡魔,0,,False
區域中的超越怪物增加%經驗值,0,,False
傳奇頭目有%機率掉落個額外精髓,0,,False
區域中的裂痕裂片有%機率改為掉落裂痕石,0.08,,False
區域中的裂痕增加%機率為夏烏拉,66,,False
傳奇頭目有%機率掉落個額外精髓,0,,False
個附加的天賦為平等為初,0,,True
個附加的天賦為補充光環,0,,True
個附加的天賦為果斷的神諭,0,,True
